engineer,merged_pr_count,merged_pr_volume_points,median_pr_cycle_hours,large_pr_share,authored_pr_review_coverage_pct,weeks_active,unique_prs_authored,domains_touched_inferred,domain_coverage_count,reviews_submitted,approvals_given,unique_authors_reviewed,review_weeks_active,unique_collaborators,momentum_raw,momentum_score,window_start,window_end,why,shipping_score,review_leverage_score,execution_flow_score,consistency_score,collaboration_score,impact_score_100,contributor_archetype
oliverb123,18.0,86.11713847359026,4.112916666666667,0.2222222222222222,100.0,4.0,18.0,"frontend,general,product_ops",3.0,51.0,29.0,8.0,4.0,8.0,44.5,1.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, high review leverage, strong execution flow",0.8605263157894737,0.8993311036789298,0.9878628593020043,0.6666666666666666,0.6153846153846154,85.93752277570033,Balanced
ordehi,7.0,30.57261547689449,23.876666666666665,0.0,100.0,2.0,7.0,general,1.0,0.0,0.0,0.0,,0.0,8.0,0.213903743315508,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,strong execution flow,0.3263157894736841,0.0,0.8772645636959545,0.3333333333333333,0.0,28.42081290613826,Mixed
orian,5.0,18.58391570503833,10.591111111111111,0.0,100.0,6.0,5.0,"data,general",2.0,30.0,18.0,13.0,6.0,13.0,13.0,0.3666921313980137,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"strong execution flow, consistent weekly presence, broad collaboration",0.2973684210526316,0.7282320378272399,0.9516107682686662,1.0,1.0,65.06793641527007,Reviewer
patricio-posthog,9.0,39.57251558323089,69.43083333333334,0.2222222222222222,100.0,3.0,9.0,"general,product_ops,rust",3.0,14.0,12.0,3.0,3.0,3.0,17.0,0.4889228418640183,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.5052631578947369,0.2989274593472493,0.622342638904998,0.5,0.2307692307692307,44.1631415304308,Mixed
pauldambra,58.0,218.2724635573724,14.605694444444444,0.1379310344827586,100.0,8.0,58.0,"backend,data,frontend,general,infra",5.0,104.0,40.0,26.0,8.0,26.0,42.4,1.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, high review leverage, strong execution flow",1.0,1.0,0.9291450887172086,1.0,1.0,98.93717633075812,Balanced
pawel-cebula,3.0,9.53567943560506,1.0525,0.0,100.0,2.0,3.0,general,1.0,4.0,2.0,1.0,2.0,1.0,6.0,0.1527883880825057,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,strong execution flow,0.1684210526315789,0.0809883519778571,1.0,0.3333333333333333,0.0769230769230769,27.707788361782963,Mixed
phillram,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
pierreeurope,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
pl,14.0,64.01452505342448,2.117777777777777,0.2857142857142857,100.0,6.0,14.0,"backend,data,general",3.0,63.0,27.0,8.0,6.0,8.0,46.0,1.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"high review leverage, strong execution flow, consistent weekly presence",0.7026315789473684,0.8892976588628763,0.9990276919177004,1.0,0.6153846153846154,84.45065037260461,Balanced
posthog,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
posthog-bot,1.0,6.023447592961033,1978.4,0.0,100.0,1.0,1.0,infra,1.0,0.0,0.0,0.0,,0.0,2.0,0.0305576776165011,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0894736842105263,0.0,0.35,0.1666666666666666,0.0,9.906453969147467,Mixed
posthog-js-upgrader,10.0,46.872308773969934,1.0361111111111112,0.1,100.0,3.0,10.0,general,1.0,0.0,0.0,0.0,,0.0,11.0,0.3055767761650114,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,strong execution flow,0.4447368421052631,0.0,1.0,0.5,0.0,36.397873024808,Mixed
rafaeelaudibert,41.0,190.2542197238857,22.51222222222222,0.3902439024390244,100.0,6.0,41.0,"backend,data,frontend,general,infra,product_ops,security",7.0,131.0,77.0,29.0,6.0,29.0,42.4,1.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, high review leverage, strong execution flow",1.0,1.0,0.8849000190121116,1.0,1.0,98.27350028518168,Balanced
ragini-pandey,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
raquelmsmith,1.0,2.302585092994046,280.39944444444444,0.0,100.0,1.0,1.0,"frontend,product_ops",2.0,1.0,1.0,1.0,1.0,1.0,2.5,0.0458365164247517,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.1394736842105263,0.0371785261215545,0.35,0.1666666666666666,0.0769230769230769,13.257936279499608,Mixed
richardsolomou,15.0,63.28990241707875,2.2569444444444446,0.3333333333333333,100.0,3.0,15.0,"backend,data,frontend,general",4.0,17.0,17.0,4.0,3.0,4.0,24.5,0.7181054239877769,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, strong execution flow, strong recent momentum",0.7921052631578946,0.3820349440664281,0.9982489127822372,0.5,0.3076923076923077,63.54574250493196,Shipper
rnegron,1.0,1.6094379124341005,11.234166666666669,0.0,100.0,1.0,1.0,product_ops,1.0,0.0,0.0,0.0,,0.0,2.0,0.0305576776165011,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,strong execution flow,0.0894736842105263,0.0,0.9480122179720654,0.1666666666666666,0.0,18.87663723872845,Mixed
robbie-c,18.0,85.23178557774904,8.142083333333334,0.2222222222222222,100.0,5.0,18.0,"data,general,infra",3.0,14.0,8.0,7.0,5.0,7.0,25.5,0.7486631016042781,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, strong execution flow, consistent weekly presence",0.8605263157894737,0.3557836466382191,0.9653155711585072,0.8333333333333334,0.5384615384615384,70.3946939410088,Shipper
rodrigoi,16.0,78.60940010290416,27.4575,0.3125,100.0,3.0,16.0,"frontend,general",2.0,17.0,14.0,5.0,3.0,5.0,25.5,0.7486631016042781,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"strong execution flow, strong recent momentum",0.731578947368421,0.3862155460731171,0.8572261568391588,0.5,0.3846153846153846,60.79393428766456,Shipper
rohan-pandeyy,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
rorylshanks,0.0,0.0,,0.0,,4.0,,general,0.0,11.0,10.0,7.0,4.0,7.0,4.0,0.0916730328495034,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.3270239880059968,,0.6666666666666666,0.5384615384615384,21.143612079927003,Mixed
rossgray,4.0,17.977050857795167,12.01013888888889,0.25,100.0,2.0,4.0,"general,security",2.0,7.0,4.0,2.0,2.0,2.0,8.5,0.2291825821237585,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,strong execution flow,0.2578947368421053,0.1490456694729557,0.9436698636508756,0.3333333333333333,0.1538461538461538,32.78165248988264,Mixed
sakce,25.0,103.37807983636412,24.72361111111111,0.04,100.0,4.0,25.0,"backend,data,general,infra,product_ops",5.0,41.0,29.0,12.0,4.0,12.0,46.5,1.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, high review leverage, strong execution flow",1.0,0.9064265943951098,0.8725250475601721,0.6666666666666666,0.9230769230769232,91.64597647071622,Balanced
salmanmkc,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
sampennington,35.0,147.27311817343062,21.76527777777778,0.1142857142857142,100.0,4.0,35.0,"data,general,product_ops",3.0,34.0,30.0,11.0,4.0,11.0,53.0,1.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, high review leverage, strong execution flow",0.9,0.8011936339522543,0.8890799333739084,0.6666666666666666,0.8461538461538461,85.49424497762011,Balanced
sapdragon,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
sarahxsanders,1.0,5.973809611869261,20.73444444444445,0.0,100.0,3.0,1.0,product_ops,1.0,3.0,3.0,2.0,3.0,2.0,3.5,0.0763941940412528,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,strong execution flow,0.0894736842105263,0.0923048091338945,0.8948484949940751,0.5,0.1538461538461538,25.716961658448344,Mixed
scheduled-actions-posthog,17.0,70.78232758535883,2.390277777777778,0.0,100.0,3.0,17.0,data,1.0,0.0,0.0,0.0,,0.0,18.0,0.5194805194805194,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,strong execution flow,0.7210526315789474,0.0,0.99750277708359,0.5,0.0,46.78892579842746,Shipper
skoob13,25.0,108.0525483959168,4.844444444444444,0.24,96.0,5.0,25.0,"data,frontend,general,infra,product_ops,security",6.0,34.0,20.0,13.0,5.0,13.0,43.0,1.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, high review leverage, strong execution flow",1.0,0.7899896205743278,0.9697692168803635,0.8333333333333334,1.0,92.62961210089698,Balanced
slshults,0.0,0.0,,0.0,,1.0,,general,0.0,3.0,1.0,1.0,1.0,1.0,2.5,0.0458365164247517,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0630405950870718,,0.1666666666666666,0.0769230769230769,4.470277477321749,Mixed
sortafreel,13.0,49.83186886563571,1.0683333333333334,0.1538461538461538,100.0,5.0,13.0,"data,general,infra",3.0,39.0,29.0,5.0,5.0,5.0,33.5,0.9931245225362872,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"strong execution flow, consistent weekly presence, strong recent momentum",0.6631578947368422,0.7459491408142078,1.0,0.8333333333333334,0.3846153846153846,75.65419776731052,Balanced
tatoalo,11.0,41.78902444463226,15.758888888888889,0.0,100.0,4.0,11.0,"frontend,general,infra",3.0,30.0,27.0,8.0,4.0,8.0,27.0,0.7944996180290298,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"strong execution flow, strong recent momentum",0.5842105263157895,0.6772286933456346,0.9226917921485958,0.6666666666666666,0.6153846153846154,69.0629190061466,Reviewer
tests-posthog,1.0,6.499787040655854,28.63222222222222,1.0,100.0,1.0,1.0,"backend,infra,product_ops",3.0,0.0,0.0,0.0,,0.0,2.0,0.0305576776165011,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,strong execution flow,0.1894736842105263,0.0,0.8506523904442018,0.1666666666666666,0.0,20.416239825810496,Mixed
themavik,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
thmsobrmlr,16.0,76.8660902434894,108.15263888888887,0.125,100.0,5.0,16.0,"data,frontend,general,infra,product_ops",5.0,60.0,44.0,22.0,5.0,22.0,31.0,0.9167303284950344,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, high review leverage, consistent weekly presence",0.881578947368421,1.0,0.4056547280969115,0.8333333333333334,1.0,85.03282596078998,Balanced
timgl,4.0,19.45457444193802,32.11,0.25,100.0,2.0,4.0,"backend,general,infra",3.0,5.0,0.0,1.0,1.0,1.0,7.5,0.1986249045072574,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,strong execution flow,0.3078947368421052,0.0838859416445622,0.8311906843044856,0.3333333333333333,0.0769230769230769,29.890664058581173,Mixed
timon0305,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
tojin12341za,0.0,0.0,,0.0,,1.0,,general,0.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0305576776165011,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0643236074270556,,0.1666666666666666,0.1538461538461538,5.118795166969608,Mixed
tomasfarias,6.0,21.6976982899887,1.7504166666666667,0.0,100.0,2.0,6.0,"backend,general,product_ops",3.0,6.0,1.0,1.0,1.0,1.0,10.0,0.2750190985485103,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,strong execution flow,0.3868421052631579,0.1018336985353476,1.0,0.3333333333333333,0.0769230769230769,36.003860709327626,Mixed
vdekrijger,16.0,62.8875066653883,12.225972222222222,0.0625,100.0,5.0,16.0,"frontend,general,infra,product_ops,security",5.0,34.0,32.0,7.0,5.0,7.0,22.33333333333333,0.6518971224853577,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, strong execution flow, consistent weekly presence",0.881578947368421,0.7242705570291774,0.9424620564886902,0.8333333333333334,0.5384615384615384,78.92798313691472,Balanced
veryayskiy,24.0,91.7155273895796,1.2238888888888888,0.0833333333333333,100.0,3.0,24.0,"backend,data,general",3.0,35.0,31.0,19.0,3.0,19.0,42.5,1.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, high review leverage, strong execution flow",0.9,0.8525862068965514,1.0,0.5,1.0,88.3146551724138,Balanced
vmaineng,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
webjunkie,33.0,137.66413142483427,13.227222222222222,0.1515151515151515,96.96969696969695,7.0,33.0,"backend,frontend,general,infra,product_ops,rust",6.0,69.0,59.0,24.0,7.0,24.0,33.75,1.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, high review leverage, strong execution flow",1.0,1.0,0.9262529831206002,1.0,1.0,98.893794746809,Balanced
